BillNo,ItemID,Quantity,SellingDate,SellingPrice,StudentID,TransactionID,final_rating,Hours,Segment,SellingDates,UniqueID
5,2,2,2020-08-20 17:20:46,8.0,F3713,1,3,17,F3,2020-08-20,52020-08-20
5,2,2,2020-08-22 17:17:14,8.0,F3787,1,3,17,F3,2020-08-22,52020-08-22
6,2,1,2020-08-22 17:17:53,8.0,F3556,1,3,17,F3,2020-08-22,62020-08-22
6,2,2,2020-08-19 17:12:40,8.0,F3196,1,2,17,F3,2020-08-19,62020-08-19
6,2,2,2020-08-20 17:21:57,8.0,F3884,1,1,17,F3,2020-08-20,62020-08-20
6,2,2,2020-08-21 17:12:51,8.0,F3892,1,1,17,F3,2020-08-21,62020-08-21
7,2,1,2020-08-21 17:12:59,8.0,F3782,2,3,17,F3,2020-08-21,72020-08-21
7,2,2,2020-08-20 17:26:39,8.0,F3318,1,2,17,F3,2020-08-20,72020-08-20
7,2,2,2020-08-21 17:12:59,8.0,F3782,1,3,17,F3,2020-08-21,72020-08-21
7,2,2,2020-08-22 17:18:13,8.0,F3196,1,3,17,F3,2020-08-22,72020-08-22
8,2,1,2020-08-20 17:26:47,8.0,F3262,1,1,17,F3,2020-08-20,82020-08-20
8,2,1,2020-08-21 17:13:04,8.0,F3700,1,3,17,F3,2020-08-21,82020-08-21
9,2,2,2020-08-19 17:12:54,8.0,F3288,1,2,17,F3,2020-08-19,92020-08-19
9,2,2,2020-08-20 17:27:01,8.0,F3326,1,3,17,F3,2020-08-20,92020-08-20
9,2,2,2020-08-21 17:13:11,8.0,F3859,1,1,17,F3,2020-08-21,92020-08-21
9,2,2,2020-08-22 17:18:25,8.0,F3270,1,2,17,F3,2020-08-22,92020-08-22
10,2,1,2020-08-19 17:12:58,8.0,F3270,1,1,17,F3,2020-08-19,102020-08-19
10,2,1,2020-08-21 17:13:16,8.0,F3754,1,4,17,F3,2020-08-21,102020-08-21
10,2,2,2020-08-20 17:27:14,8.0,F3326,1,3,17,F3,2020-08-20,102020-08-20
11,2,1,2020-08-20 17:27:20,8.0,F3277,1,5,17,F3,2020-08-20,112020-08-20
12,2,1,2020-08-19 17:14:01,8.0,F3022,1,3,17,F3,2020-08-19,122020-08-19
12,2,1,2020-08-20 17:27:24,8.0,F3314,1,5,17,F3,2020-08-20,122020-08-20
12,2,1,2020-08-22 17:20:27,8.0,F3863,1,4,17,F3,2020-08-22,122020-08-22
13,2,1,2020-08-20 17:28:54,8.0,F3713,1,4,17,F3,2020-08-20,132020-08-20
15,2,2,2020-08-19 17:17:19,8.0,F3225,1,5,17,F3,2020-08-19,152020-08-19
15,2,5,2020-08-21 17:14:04,8.0,F3892,1,2,17,F3,2020-08-21,152020-08-21
16,2,1,2020-08-19 17:17:29,8.0,F3138,1,4,17,F3,2020-08-19,162020-08-19
17,2,1,2020-08-22 17:25:29,8.0,F3498,1,5,17,F3,2020-08-22,172020-08-22
19,2,1,2020-08-21 17:20:35,8.0,F3536,1,3,17,F3,2020-08-21,192020-08-21
19,2,2,2020-08-19 17:19:30,8.0,F3233,1,5,17,F3,2020-08-19,192020-08-19
20,2,1,2020-08-21 17:22:14,8.0,F3754,1,1,17,F3,2020-08-21,202020-08-21
21,2,2,2020-08-20 17:46:37,8.0,F3589,2,3,17,F3,2020-08-20,212020-08-20
21,2,2,2020-08-21 17:22:37,8.0,F3792,1,2,17,F3,2020-08-21,212020-08-21
22,2,2,2020-08-20 17:47:35,8.0,F3292,1,2,17,F3,2020-08-20,222020-08-20
24,2,2,2020-08-22 17:28:29,8.0,F3070,1,3,17,F3,2020-08-22,242020-08-22
26,2,1,2020-08-22 17:29:07,8.0,F3655,1,4,17,F3,2020-08-22,262020-08-22
27,2,1,2020-08-19 17:23:18,8.0,F3550,1,3,17,F3,2020-08-19,272020-08-19
35,2,1,2020-08-19 17:30:01,8.0,F3292,1,1,17,F3,2020-08-19,352020-08-19
38,2,1,2020-08-19 17:34:42,8.0,F3031,1,2,17,F3,2020-08-19,382020-08-19
38,2,1,2020-08-19 17:34:42,8.0,F3031,3,3,17,F3,2020-08-19,382020-08-19
38,2,2,2020-08-21 17:31:31,8.0,F3129,1,3,17,F3,2020-08-21,382020-08-21
39,2,1,2020-08-19 17:34:50,8.0,F3340,1,5,17,F3,2020-08-19,392020-08-19
42,2,1,2020-08-19 17:36:25,8.0,F3406,1,3,17,F3,2020-08-19,422020-08-19
43,2,1,2020-08-19 17:44:14,8.0,F3570,1,2,17,F3,2020-08-19,432020-08-19
46,2,2,2020-08-21 17:34:06,8.0,F3757,1,3,17,F3,2020-08-21,462020-08-21
50,2,2,2020-08-19 17:56:08,8.0,F3167,1,4,17,F3,2020-08-19,502020-08-19
55,2,2,2020-08-22 17:59:06,8.0,F3403,1,4,17,F3,2020-08-22,552020-08-22
56,2,2,2020-08-22 17:59:17,8.0,F3355,1,4,17,F3,2020-08-22,562020-08-22
60,2,2,2020-08-21 17:46:00,8.0,F3355,1,2,17,F3,2020-08-21,602020-08-21
63,2,2,2020-08-21 17:57:07,8.0,F3787,1,4,17,F3,2020-08-21,632020-08-21
64,2,1,2020-08-21 17:57:12,8.0,F3209,1,2,17,F3,2020-08-21,642020-08-21
65,2,1,2020-08-21 17:57:17,8.0,F3138,1,3,17,F3,2020-08-21,652020-08-21
68,2,2,2020-08-21 17:59:53,8.0,F3139,1,4,17,F3,2020-08-21,682020-08-21
1,2,1,2020-08-18 17:24:13,8.0,F4805,3,5,17,F4,2020-08-18,12020-08-18
4,2,1,2020-08-18 17:24:50,8.0,F4437,1,3,17,F4,2020-08-18,42020-08-18
11,2,1,2020-08-18 17:38:24,8.0,F4702,1,3,17,F4,2020-08-18,112020-08-18
13,2,1,2020-08-22 17:21:12,8.0,F4586,1,3,17,F4,2020-08-22,132020-08-22
14,2,1,2020-08-22 17:21:22,8.0,F4362,1,5,17,F4,2020-08-22,142020-08-22
17,2,1,2020-08-21 17:16:40,8.0,F4586,2,3,17,F4,2020-08-21,172020-08-21
17,2,2,2020-08-18 17:47:35,8.0,F4702,1,4,17,F4,2020-08-18,172020-08-18
17,2,2,2020-08-21 17:16:40,8.0,F4586,1,5,17,F4,2020-08-21,172020-08-21
20,2,2,2020-08-20 17:46:05,8.0,F4233,1,1,17,F4,2020-08-20,202020-08-20
21,2,2,2020-08-19 17:21:03,8.0,F4297,1,1,17,F4,2020-08-19,212020-08-19
23,2,2,2020-08-19 17:21:10,8.0,F4649,1,5,17,F4,2020-08-19,232020-08-19
26,2,2,2020-08-21 17:24:13,8.0,F4269,1,3,17,F4,2020-08-21,262020-08-21
27,2,2,2020-08-21 17:26:29,8.0,F4307,1,2,17,F4,2020-08-21,272020-08-21
28,2,1,2020-08-22 17:32:36,8.0,F4246,2,1,17,F4,2020-08-22,282020-08-22
29,2,2,2020-08-22 17:32:42,8.0,F4268,1,4,17,F4,2020-08-22,292020-08-22
30,2,2,2020-08-21 17:27:15,8.0,F4654,2,2,17,F4,2020-08-21,302020-08-21
31,2,2,2020-08-22 17:32:53,8.0,F4260,1,1,17,F4,2020-08-22,312020-08-22
32,2,2,2020-08-19 17:26:39,8.0,F4233,1,3,17,F4,2020-08-19,322020-08-19
33,2,2,2020-08-22 17:33:10,8.0,F4486,1,5,17,F4,2020-08-22,332020-08-22
34,2,1,2020-08-22 17:33:21,8.0,F4290,1,4,17,F4,2020-08-22,342020-08-22
35,2,1,2020-08-22 17:33:32,8.0,F4257,2,2,17,F4,2020-08-22,352020-08-22
39,2,2,2020-08-22 17:35:08,8.0,F4399,1,5,17,F4,2020-08-22,392020-08-22
41,2,1,2020-08-22 17:37:47,8.0,F4290,1,2,17,F4,2020-08-22,412020-08-22
42,2,1,2020-08-22 17:38:56,8.0,F4246,1,1,17,F4,2020-08-22,422020-08-22
47,2,2,2020-08-21 17:34:39,8.0,F4177,1,2,17,F4,2020-08-21,472020-08-21
48,2,4,2020-08-21 17:34:45,8.0,F4356,1,2,17,F4,2020-08-21,482020-08-21
50,2,2,2020-08-22 17:51:28,8.0,F4820,1,1,17,F4,2020-08-22,502020-08-22
51,2,2,2020-08-22 17:51:42,8.0,F4558,1,2,17,F4,2020-08-22,512020-08-22
52,2,1,2020-08-22 17:56:31,8.0,F4706,1,3,17,F4,2020-08-22,522020-08-22
66,2,1,2020-08-21 17:58:02,8.0,F4233,1,2,17,F4,2020-08-21,662020-08-21
19,2,7,2020-08-18 18:24:50,8.0,F0000,1,2,18,F0,2020-08-18,192020-08-18
31,2,1,2020-08-20 18:16:32,8.0,F0000,1,4,18,F0,2020-08-20,312020-08-20
37,2,1,2020-08-20 18:24:15,8.0,F0000,1,5,18,F0,2020-08-20,372020-08-20
37,2,1,2020-08-20 18:24:15,8.0,F0000,2,4,18,F0,2020-08-20,372020-08-20
58,2,4,2020-08-19 18:14:42,8.0,F0000,1,3,18,F0,2020-08-19,582020-08-19
66,2,2,2020-08-19 18:18:42,8.0,F0000,1,4,18,F0,2020-08-19,662020-08-19
78,2,1,2020-08-22 18:12:57,8.0,F0000,1,2,18,F0,2020-08-22,782020-08-22
107,2,1,2020-08-22 18:35:28,8.0,F0000,1,2,18,F0,2020-08-22,1072020-08-22
105,2,1,2020-08-22 18:33:55,8.0,F1788,1,1,18,F1,2020-08-22,1052020-08-22
105,2,1,2020-08-22 18:33:55,8.0,F1788,2,5,18,F1,2020-08-22,1052020-08-22
106,2,2,2020-08-22 18:34:39,8.0,F1401,1,2,18,F1,2020-08-22,1062020-08-22
29,2,1,2020-08-18 18:27:15,8.0,F2116,1,1,18,F2,2020-08-18,292020-08-18
29,2,1,2020-08-20 18:13:44,8.0,F2528,2,4,18,F2,2020-08-20,292020-08-20
32,2,1,2020-08-20 18:17:06,8.0,F2345,1,1,18,F2,2020-08-20,322020-08-20
33,2,1,2020-08-20 18:17:17,8.0,F2193,1,1,18,F2,2020-08-20,332020-08-20
34,2,1,2020-08-20 18:17:50,8.0,F2528,1,4,18,F2,2020-08-20,342020-08-20
36,2,1,2020-08-20 18:23:07,8.0,F2345,1,3,18,F2,2020-08-20,362020-08-20
