Users,Items
972020-10-10,"[2, 187, 188]"
4912020-10-04,[142]
972020-10-12,[188]
972020-10-13,"[2, 123]"
972020-10-14,[134]
972020-10-15,[2]
972020-10-16,[2]
972020-10-17,[2]
3012020-11-25,[128]
3012020-11-24,"[21, 25]"
3012020-11-27,[140]
3012020-11-26,"[124, 133, 154]"
3012020-11-21,[146]
3012020-11-20,[195]
3012020-11-23,"[128, 130]"
3012020-11-22,[169]
14292020-11-17,[178]
3702020-09-11,[154]
10932020-10-21,[192]
11762020-11-10,[107]
8862020-11-11,"[1, 154]"
12452020-09-13,[156]
14912020-10-22,[142]
14912020-10-23,[139]
14912020-10-20,[76]
14912020-10-21,[76]
14912020-10-27,[173]
14912020-10-24,[128]
14912020-10-25,"[170, 178]"
8862020-11-14,"[12, 154, 188]"
14912020-10-28,"[154, 176]"
3252020-10-08,[130]
8862020-11-15,[176]
9202020-11-28,"[1, 142]"
1722020-10-12,[14]
1722020-10-11,[74]
1722020-10-10,[2]
1722020-10-17,[19]
11762020-11-16,"[146, 151]"
16922020-10-18,[12]
1722020-10-14,"[74, 151]"
9202020-11-20,"[18, 107]"
9202020-11-21,"[20, 48, 107]"
1722020-10-19,[14]
17012020-09-09,[93]
9202020-11-24,[76]
9202020-11-25,[164]
9202020-11-26,[1]
16922020-10-11,"[128, 169]"
2712020-08-12,[135]
2712020-08-13,"[16, 134]"
2712020-08-16,"[15, 107, 128, 155]"
2712020-08-17,"[151, 164]"
13582020-11-29,[108]
2712020-08-15,[134]
13582020-11-27,"[93, 128]"
13582020-11-26,[26]
2712020-08-18,"[16, 134]"
17502020-11-19,[130]
13582020-11-23,"[15, 21, 21, 107, 134]"
13582020-11-22,[139]
13582020-11-21,[107]
13582020-11-20,"[128, 129]"
8302020-11-09,"[1, 107, 154]"
7462020-08-17,"[15, 156]"
5682020-10-13,[157]
3252020-10-03,[179]
5892020-08-29,"[148, 159]"
8302020-11-02,[15]
7462020-08-19,"[140, 154]"
7462020-08-18,[128]
8302020-11-06,[134]
8302020-11-07,"[1, 154]"
1232020-08-12,[156]
15862020-11-12,[151]
1232020-08-14,"[129, 154, 161]"
1232020-08-15,[151]
15862020-11-17,"[1, 76]"
15862020-11-16,[134]
1232020-08-18,"[2, 130, 161]"
3252020-10-06,[134]
1372020-10-06,[169]
8242020-11-27,[154]
3252020-10-07,"[76, 142, 146, 151]"
5892020-08-25,[155]
4272020-08-28,[161]
18412020-11-29,"[20, 108]"
3692020-10-28,[169]
5892020-08-24,[157]
18782020-09-21,[182]
6422020-09-12,[154]
8362020-09-13,[155]
18412020-11-25,[160]
4422020-09-08,[155]
5542020-08-20,[162]
5892020-08-20,[12]
8902020-11-20,[135]
8902020-11-21,[107]
8902020-11-22,[141]
8902020-11-23,"[146, 151]"
8902020-11-24,[141]
8902020-11-25,[107]
8902020-11-26,[128]
8902020-11-27,[135]
8902020-11-28,[134]
8902020-11-29,"[139, 140]"
582020-10-02,[169]
9102020-10-05,[154]
10932020-10-22,[192]
4142020-09-29,[160]
4142020-09-28,"[151, 164, 164]"
3702020-10-23,"[20, 76, 130, 156]"
4142020-09-21,[74]
4142020-09-20,[154]
4142020-09-23,"[19, 76, 128, 146]"
4142020-09-22,"[146, 151]"
4142020-09-25,"[151, 154]"
4142020-09-24,"[46, 154]"
