Users,Items
8062020-09-23,[76]
16872020-10-09,[133]
16872020-10-08,[76]
13452020-09-05,[169]
16872020-10-03,"[76, 128, 175]"
16872020-10-02,[182]
16872020-10-01,[141]
16872020-10-06,[160]
16872020-10-05,"[136, 169]"
16872020-10-04,"[142, 186]"
20842020-10-02,"[76, 107]"
20842020-10-01,[25]
4692020-10-29,[76]
4692020-10-28,[130]
4692020-10-27,[142]
4692020-10-26,[14]
4692020-10-25,"[154, 170]"
4692020-10-24,[142]
4692020-10-23,"[22, 154]"
4692020-10-22,[124]
4692020-10-21,"[76, 128, 161]"
4692020-10-20,[193]
14852020-09-14,[25]
2832020-09-14,[76]
5252020-10-08,[50]
13812020-11-29,"[134, 142]"
3292020-10-07,"[146, 151]"
14162020-11-20,[128]
3882020-10-29,[124]
3882020-10-28,[76]
3882020-10-23,"[146, 151]"
7792020-08-23,[154]
7792020-08-20,"[128, 128, 132, 134, 154, 156, 156]"
7792020-08-21,[140]
3882020-10-27,"[2, 123, 139, 140]"
3882020-10-26,[154]
3882020-10-25,[12]
3882020-10-24,[129]
4712020-10-13,[141]
18802020-09-19,[128]
17642020-09-19,[76]
17642020-09-17,[128]
18802020-09-17,"[76, 107]"
14652020-10-28,"[142, 193]"
17642020-09-10,[108]
15202020-09-25,"[76, 135]"
14292020-10-23,"[93, 173]"
15202020-09-27,[22]
16972020-09-19,"[26, 128]"
15202020-09-20,"[50, 128]"
15202020-09-23,[128]
15202020-09-22,[128]
7772020-10-24,"[173, 176]"
12092020-08-29,"[135, 155, 156]"
11762020-10-13,"[128, 155]"
14542020-10-03,"[128, 128, 169]"
11082020-11-21,[128]
8392020-09-28,"[151, 154, 164]"
5672020-09-15,[151]
5252020-10-04,[161]
8392020-09-29,[138]
4552020-11-05,[154]
5252020-10-05,"[148, 151]"
8392020-09-26,[148]
13462020-08-30,"[135, 154]"
5252020-10-06,"[76, 151, 164]"
8392020-09-27,[154]
2462020-08-24,[161]
5252020-10-07,[93]
5252020-09-08,[148]
5972020-10-18,"[135, 154]"
5972020-10-19,[100]
3952020-10-04,[169]
8392020-09-25,[100]
2122020-11-28,[26]
2122020-11-29,[22]
5972020-10-10,[134]
9632020-10-15,"[128, 154, 186]"
5972020-10-12,[155]
2122020-11-27,"[167, 188]"
2122020-11-20,[2]
1532020-09-07,[76]
2122020-11-22,[107]
5972020-10-17,"[107, 142]"
5382020-08-25,[170]
18882020-10-05,[130]
3862020-08-28,[135]
3862020-08-29,"[134, 157]"
12302020-10-19,"[124, 142, 154, 154]"
5382020-08-24,"[128, 154]"
3862020-08-24,[157]
3862020-08-25,"[130, 146, 151, 164]"
3862020-08-26,"[128, 138]"
8392020-09-21,[19]
3862020-08-20,"[130, 134]"
3862020-08-21,[134]
3862020-08-22,[146]
6232020-08-23,"[156, 157]"
3972020-09-25,[141]
5382020-08-26,[154]
1532020-09-02,"[146, 151]"
20072020-09-30,[134]
11932020-11-28,[138]
11932020-11-29,[135]
12172020-11-18,"[128, 135]"
4552020-11-09,[76]
12172020-11-14,[134]
12172020-11-15,"[107, 142, 142]"
12172020-11-16,"[15, 129]"
11932020-11-21,[128]
11932020-11-26,"[15, 139]"
11932020-11-27,"[21, 154]"
11932020-11-24,[141]
12172020-11-13,[1]
10532020-09-26,"[134, 154]"
5032020-11-28,"[130, 138, 139, 141]"
10532020-09-24,"[26, 128]"
10532020-09-25,"[76, 146, 151]"
10532020-09-22,[156]
7432020-10-08,[12]
7432020-10-09,[25]
5032020-11-21,"[146, 151]"
11422020-09-07,"[76, 154, 169]"
7432020-10-04,[50]
7432020-10-05,[76]
5032020-11-25,[15]
7432020-10-03,[100]
5032020-11-27,[130]
10532020-09-29,"[22, 142]"
11422020-09-05,[130]
18882020-10-09,"[129, 134, 156]"
20382020-09-26,[128]
3062020-10-10,[142]
1222020-11-22,[76]
3062020-10-12,[156]
3062020-10-13,[154]
15722020-10-05,[129]
3062020-10-15,[74]
3062020-10-16,"[146, 151]"
12472020-11-18,"[76, 107, 107]"
3062020-10-18,[142]
12472020-11-16,[128]
12472020-11-15,"[76, 151, 164]"
6292020-09-19,"[76, 128, 154]"
12472020-11-13,[154]
2102020-09-03,"[138, 139]"
12472020-11-11,"[76, 128, 134, 139]"
3972020-09-28,[142]
4792020-10-06,"[1, 2, 156]"
4792020-10-07,"[12, 76]"
4792020-10-04,"[76, 148, 151]"
17912020-11-29,[26]
4792020-10-02,"[146, 148, 151]"
4792020-10-03,[187]
4792020-10-01,[164]
2102020-09-05,"[76, 154]"
2952020-11-25,[130]
4792020-10-08,[157]
4792020-10-09,"[128, 156, 170]"
5672020-10-28,[26]
7532020-08-27,[124]
7532020-08-24,[155]
2952020-11-24,"[146, 151]"
7532020-08-22,[154]
7532020-08-23,"[138, 154]"
7532020-08-20,"[108, 128, 156]"
7532020-08-21,"[15, 128, 154, 155]"
6782020-10-27,[155]
2952020-11-23,[131]
6782020-10-25,[26]
2102020-09-06,"[128, 134]"
6782020-10-23,"[12, 128, 128]"
6782020-10-22,[76]
6782020-10-21,"[22, 169]"
6292020-09-13,"[18, 157, 169]"
2722020-11-23,"[134, 135, 151, 177]"
2722020-11-20,"[12, 128]"
2722020-11-21,"[170, 188]"
2722020-11-26,"[151, 164]"
2722020-11-27,[146]
16022020-10-01,"[128, 135]"
4472020-10-27,"[18, 22, 154, 169]"
2722020-11-28,[169]
2722020-11-29,[1]
16142020-10-10,"[141, 157, 160, 169]"
8482020-09-17,"[139, 154]"
8532020-08-17,[157]
16452020-09-23,[175]
5132020-10-09,"[108, 128]"
5132020-10-08,[12]
17912020-11-24,[128]
11942020-09-07,"[151, 164]"
5132020-10-03,[164]
5132020-10-02,"[146, 151]"
5132020-10-01,"[129, 130]"
5142020-10-29,[134]
5132020-10-07,[76]
5132020-10-06,[169]
5132020-10-05,[154]
2192020-11-08,"[151, 166]"
10642020-11-20,[128]
16452020-09-27,[93]
3522020-09-10,[76]
11942020-09-02,"[74, 124, 134]"
4912020-11-19,[165]
4452020-08-23,[154]
3522020-09-13,[154]
14432020-09-25,[12]
5302020-11-04,"[19, 26]"
5302020-11-07,[128]
5302020-11-06,[22]
5302020-11-01,"[1, 128, 128]"
14432020-09-20,"[154, 154]"
14432020-09-23,"[160, 169]"
4022020-10-13,[26]
4022020-10-12,[22]
4022020-10-10,"[12, 154]"
5302020-11-09,[76]
4022020-10-16,[128]
4022020-10-15,"[139, 151, 164]"
4022020-10-14,[142]
1032020-09-24,[100]
1032020-09-25,[108]
1032020-09-26,[2]
1032020-09-27,[2]
12612020-10-23,[76]
1032020-09-22,[170]
1032020-09-23,[76]
12092020-08-26,[156]
2192020-11-01,"[146, 151]"
3772020-10-10,"[169, 187]"
12612020-10-22,"[26, 134, 154, 155]"
1032020-09-28,[2]
1032020-09-29,"[2, 169]"
2782020-10-29,[130]
12552020-09-20,[157]
3572020-09-21,"[76, 151]"
8132020-11-07,[177]
8132020-11-06,[134]
1902020-10-30,"[100, 151, 151, 175]"
6172020-09-02,"[151, 164]"
7462020-10-18,"[138, 142]"
7462020-10-19,[124]
6472020-10-13,"[142, 187]"
14852020-09-18,"[45, 139]"
7462020-10-10,"[22, 74, 128]"
7462020-10-11,"[128, 169]"
7462020-10-12,[141]
7462020-10-13,[154]
7462020-10-14,[178]
7462020-10-15,[156]
7462020-10-16,[128]
7462020-10-17,[128]
9592020-09-29,[128]
9592020-09-28,"[76, 107]"
9592020-09-21,[128]
9592020-09-20,[139]
9592020-09-23,[76]
9592020-09-22,[128]
9592020-09-25,"[76, 130]"
9592020-09-24,"[12, 108, 169]"
9592020-09-27,[130]
9592020-09-26,[142]
17582020-10-20,[134]
17582020-10-22,[129]
17582020-10-23,[76]
17582020-10-24,"[76, 128, 129]"
17582020-10-25,"[12, 170]"
18062020-09-26,[154]
18062020-09-27,"[129, 132]"
18062020-09-20,"[18, 21]"
18062020-09-21,"[76, 156, 169]"
18062020-09-22,"[25, 93]"
3572020-09-23,[140]
2232020-10-30,[169]
7062020-11-27,"[128, 138]"
11582020-11-18,"[128, 138, 151, 164, 177]"
9602020-09-19,"[128, 154]"
20162020-09-29,[131]
11582020-11-14,[130]
11582020-11-15,"[21, 21, 76, 177]"
9602020-09-16,"[76, 128]"
9602020-09-17,"[12, 76]"
11582020-11-10,[129]
11582020-11-11,"[12, 169]"
9602020-09-12,[18]
9602020-09-13,[134]
17102020-09-26,"[128, 154]"
13482020-09-09,[128]
13482020-09-08,[155]
17102020-09-22,[169]
8762020-10-08,[164]
17102020-09-20,[156]
17102020-09-21,"[12, 76, 130]"
8762020-10-05,[74]
8762020-10-04,"[14, 154]"
8762020-10-07,"[76, 134]"
8762020-10-06,"[2, 169, 170]"
13482020-09-07,[128]
13482020-09-06,"[107, 134]"
17102020-09-28,"[76, 128, 135, 151, 166]"
8762020-10-02,[169]
4312020-10-02,[76]
2442020-11-06,[12]
4312020-10-01,[76]
4312020-10-06,[171]
4312020-10-07,[128]
4312020-10-04,"[130, 133, 140]"
4312020-10-05,[188]
4312020-10-08,"[128, 130]"
4312020-10-09,"[146, 151]"
13482020-09-26,[128]
15502020-11-29,[22]
2922020-09-28,"[2, 168, 186]"
2922020-09-25,[76]
2922020-09-24,[22]
2922020-09-26,"[148, 151]"
2922020-09-21,[107]
15502020-11-20,"[15, 76]"
2922020-09-23,[169]
2922020-09-22,[15]
3582020-09-28,"[130, 161, 169]"
3582020-09-29,"[146, 148, 151]"
5432020-10-30,[175]
3582020-09-22,"[76, 154, 156]"
3572020-09-24,"[22, 134]"
3582020-09-20,[170]
3582020-09-21,"[135, 178]"
3582020-09-26,[129]
3582020-09-27,"[12, 76, 107, 130, 139, 168]"
3582020-09-24,"[76, 108]"
5762020-10-04,[170]
16732020-09-09,[169]
16682020-11-19,"[25, 48]"
17142020-09-21,[107]
13122020-08-24,[161]
5762020-10-06,[176]
1952020-11-12,[188]
5762020-10-07,"[50, 108]"
12492020-11-18,"[107, 141]"
3572020-09-27,[151]
12492020-11-15,"[76, 154]"
12492020-11-14,[135]
16142020-10-19,[157]
12492020-11-16,[128]
12492020-11-11,"[128, 129, 134]"
12492020-11-13,[76]
2322020-09-25,[179]
3772020-10-17,[154]
3632020-08-16,[157]
3632020-08-17,"[151, 164]"
9732020-08-26,"[140, 154]"
3632020-08-15,"[154, 155, 156]"
3632020-08-13,"[134, 163]"
3632020-08-18,[156]
3632020-08-19,"[124, 154]"
15002020-10-18,"[1, 141]"
15002020-10-19,[130]
7212020-11-07,"[25, 26, 26, 107, 170]"
7212020-11-06,[124]
7212020-11-01,"[108, 139]"
7212020-11-02,"[134, 154]"
6532020-10-13,[128]
6532020-10-12,[169]
14092020-09-21,"[107, 128]"
6532020-10-10,"[15, 155]"
7212020-11-09,[25]
6532020-10-16,"[128, 154]"
14092020-09-25,"[132, 140]"
15002020-10-17,[134]
4002020-11-05,[154]
4002020-11-04,[193]
13052020-09-13,[170]
2002020-08-28,[161]
3522020-10-19,[156]
4382020-10-18,"[107, 142]"
912020-08-13,"[12, 128, 155]"
3412020-08-29,[156]
3412020-08-28,"[26, 160]"
912020-08-12,"[140, 155]"
4382020-10-10,"[151, 154]"
3412020-08-22,[139]
4382020-10-12,"[141, 148, 155]"
4382020-10-13,[128]
3412020-08-27,"[12, 124, 138, 138, 138, 154, 156, 159]"
3412020-08-26,"[128, 138]"
3412020-08-25,"[154, 157]"
4382020-10-17,[128]
10432020-09-14,[170]
6892020-11-07,"[130, 134]"
6892020-11-05,"[124, 173]"
6892020-11-01,"[14, 136]"
912020-08-17,[154]
6892020-11-08,"[100, 138]"
6892020-11-09,[76]
9872020-11-21,[178]
912020-08-15,[161]
6942020-09-19,[154]
912020-08-14,"[132, 156]"
3522020-10-11,[151]
11522020-10-01,[138]
4972020-11-29,[135]
13052020-09-15,[135]
7672020-09-21,[135]
562020-09-16,[179]
3522020-10-17,[142]
3742020-11-04,[193]
4972020-11-28,"[168, 171]"
7672020-09-22,[154]
4002020-11-08,"[134, 138]"
11452020-10-23,"[128, 154]"
3522020-10-15,[124]
21132020-09-29,[128]
13112020-08-19,"[154, 167]"
11452020-10-24,[154]
3522020-10-14,"[26, 169, 173]"
7672020-09-25,[154]
13942020-09-18,"[134, 134]"
11452020-10-26,"[128, 154]"
3442020-10-27,"[15, 18]"
11342020-09-10,[154]
2242020-11-12,[132]
2242020-11-13,[141]
15732020-10-03,"[128, 128, 134]"
15732020-10-02,"[26, 46]"
2242020-11-16,[130]
2242020-11-17,"[130, 140]"
6822020-10-04,"[128, 140]"
2242020-11-15,[15]
15732020-10-09,[128]
18212020-09-29,[169]
6822020-10-08,"[76, 128, 154, 176]"
2242020-11-19,"[124, 129]"
12702020-10-17,[134]
4592020-10-22,[15]
4502020-10-18,"[130, 154]"
10092020-11-18,[141]
4502020-10-16,"[14, 173]"
10092020-11-16,"[48, 160]"
9652020-11-09,"[76, 142]"
10092020-11-14,"[1, 76, 107]"
10092020-11-13,[12]
10092020-11-12,[20]
10092020-11-11,"[141, 151, 154]"
10092020-11-10,[1]
17162020-09-26,[154]
7892020-09-09,[76]
9732020-08-28,"[128, 138, 138, 156]"
2782020-10-24,"[154, 178, 187]"
18212020-09-26,"[134, 140]"
5312020-11-28,[142]
5312020-11-29,"[132, 142, 154]"
5312020-11-26,[169]
5312020-11-27,"[146, 151]"
5312020-11-24,[130]
7192020-11-29,[14]
5312020-11-22,"[151, 164]"
5312020-11-20,"[20, 188]"
5312020-11-21,"[20, 48]"
7892020-09-02,[108]
6352020-11-09,[15]
6352020-11-08,[76]
6352020-11-07,"[128, 135]"
10972020-09-16,"[45, 134, 154]"
6352020-11-05,"[124, 134, 193]"
10972020-09-14,[74]
10972020-09-13,"[107, 135]"
762020-11-10,"[2, 19]"
6352020-11-01,"[128, 134]"
10972020-09-10,[169]
4042020-11-27,"[130, 142]"
19552020-09-30,[169]
7192020-11-25,[142]
42020-10-12,[188]
18312020-10-10,"[128, 156]"
7192020-11-22,[134]
15372020-11-25,[128]
942020-11-27,[167]
7192020-11-23,[141]
1622020-10-02,[169]
942020-11-26,"[2, 188]"
7192020-11-20,"[12, 128]"
7032020-08-28,"[156, 161]"
4042020-11-23,"[135, 140]"
7192020-11-21,"[154, 195]"
12512020-10-23,[134]
4042020-11-22,[15]
3362020-09-04,[169]
3362020-09-05,"[12, 74]"
3362020-09-06,"[76, 151]"
3362020-09-07,[156]
3362020-09-01,"[151, 154]"
3362020-09-02,[151]
3362020-09-03,[163]
942020-11-22,[123]
3362020-09-08,"[128, 151, 164]"
3362020-09-09,"[74, 128, 163]"
5672020-09-10,"[12, 128, 138]"
12492020-10-07,"[156, 160, 170]"
12522020-10-24,"[154, 154]"
9122020-11-19,[19]
2482020-08-16,"[159, 161]"
10962020-10-25,[169]
4382020-08-27,"[151, 154]"
9122020-11-17,"[15, 142, 188]"
6142020-11-01,"[130, 174]"
10962020-10-27,[135]
3502020-08-28,[154]
2712020-09-06,[155]
2712020-09-07,"[148, 151]"
2712020-09-04,[128]
2712020-09-05,"[2, 154, 155]"
2712020-09-02,"[12, 124, 146, 151]"
682020-11-29,[123]
2712020-09-01,"[124, 130, 138, 154]"
7172020-09-20,[182]
9122020-11-12,"[20, 138]"
682020-11-26,"[2, 123]"
682020-11-27,[2]
682020-11-20,[2]
682020-11-21,[2]
682020-11-22,[123]
2712020-09-09,"[76, 128]"
5972020-09-12,"[128, 130]"
5972020-09-13,[169]
5972020-09-10,[135]
10632020-10-26,[146]
5972020-09-16,[76]
9122020-11-10,[138]
5972020-09-14,[169]
5972020-09-15,[141]
4592020-10-24,[129]
13912020-09-09,[138]
16482020-11-30,"[22, 93, 107, 154]"
5972020-09-19,"[93, 107]"
13912020-09-08,[169]
19942020-09-20,[76]
19942020-09-21,"[46, 157]"
10502020-10-18,[134]
10502020-10-19,[134]
19942020-09-26,"[18, 157]"
10502020-10-13,[128]
10502020-10-10,"[22, 154]"
10502020-10-16,"[141, 169]"
10502020-10-17,[142]
10502020-10-14,"[74, 170]"
10502020-10-15,"[22, 74, 134]"
2332020-10-11,"[151, 155]"
2332020-10-10,[179]
2332020-10-13,"[130, 135, 156]"
2332020-10-12,"[151, 154]"
2332020-10-15,"[130, 169]"
2332020-10-14,[151]
2332020-10-16,[188]
2332020-10-19,[133]
12142020-08-18,[134]
10312020-09-01,[12]
15732020-10-07,"[22, 25, 134, 157]"
9312020-10-25,[76]
16432020-09-07,[12]
6142020-10-07,[169]
3662020-10-30,"[76, 146]"
6362020-10-17,[142]
16432020-09-09,"[26, 99, 170]"
16432020-09-08,"[128, 169]"
9202020-11-22,"[146, 151]"
8692020-09-29,"[178, 186]"
9312020-10-26,[128]
15002020-09-17,[170]
6672020-10-18,"[129, 193]"
6672020-10-19,[129]
6672020-10-16,"[25, 154]"
6672020-10-17,[74]
6672020-10-14,[154]
6672020-10-15,[135]
6672020-10-12,[140]
6672020-10-13,"[15, 128, 169]"
6672020-10-10,[129]
2162020-10-08,[76]
14872020-09-11,"[108, 135]"
14872020-09-12,[141]
14872020-09-14,[135]
14872020-09-15,"[26, 76, 108]"
14872020-09-16,[130]
14872020-09-18,"[93, 156]"
14872020-09-19,"[21, 50]"
13082020-11-23,"[134, 146, 151, 169, 196]"
13142020-11-27,[160]
9452020-08-19,"[123, 148]"
8442020-10-20,[134]
4872020-09-09,[128]
4872020-09-08,[107]
4872020-09-07,"[76, 141]"
4872020-09-06,[140]
7202020-11-24,[130]
4872020-09-04,"[134, 154]"
4872020-09-03,"[25, 160]"
7202020-11-23,[169]
7202020-11-20,"[146, 151]"
7202020-11-21,[141]
8372020-10-28,[193]
202020-11-23,[188]
15952020-08-20,[51]
202020-11-24,[188]
2532020-10-18,[164]
8662020-10-07,"[148, 154]"
9632020-10-20,[22]
9632020-10-21,[134]
9632020-10-22,"[128, 169]"
9632020-10-23,"[138, 168]"
10072020-11-19,[130]
202020-11-26,"[2, 123]"
9632020-10-26,[171]
9632020-10-27,[130]
462020-11-18,[15]
10072020-11-14,[14]
10072020-11-17,[12]
10072020-11-16,[128]
10072020-11-11,"[128, 138, 187]"
10072020-11-10,[154]
10072020-11-13,[142]
10072020-11-12,"[76, 160]"
8692020-09-27,[161]
16802020-10-17,[139]
17782020-09-29,[128]
8692020-09-26,[130]
2272020-11-10,[140]
18302020-10-25,"[93, 169]"
18302020-10-24,[93]
12212020-11-18,"[130, 154]"
8372020-10-26,[193]
18302020-10-20,[128]
13632020-11-08,[142]
10582020-11-07,"[151, 177]"
1822020-11-05,[130]
2272020-11-14,[188]
2762020-11-19,[164]
2762020-11-18,[1]
522020-10-19,[2]
2762020-11-13,[76]
2762020-11-12,"[151, 164, 166]"
9242020-08-20,[132]
9242020-08-21,[12]
2762020-11-17,[108]
2762020-11-16,[151]
9242020-08-24,"[128, 139, 155]"
2762020-11-14,"[141, 146]"
10312020-09-07,[155]
8342020-11-19,[107]
8342020-11-18,[178]
5692020-09-12,"[148, 155]"
8342020-11-13,"[154, 178]"
8342020-11-12,[128]
8342020-11-11,[154]
8342020-11-10,[130]
8342020-11-17,"[1, 1, 154]"
8342020-11-16,"[76, 107]"
8342020-11-15,[1]
8342020-11-14,[130]
412020-10-06,"[2, 123, 169]"
412020-10-07,[188]
412020-10-04,[2]
412020-10-05,[74]
412020-10-02,"[2, 123]"
2812020-11-07,[76]
2812020-11-04,[128]
412020-10-01,[76]
2812020-11-08,[130]
2812020-11-09,[154]
412020-10-08,[2]
412020-10-09,"[2, 123]"
12352020-11-18,"[130, 140]"
7462020-09-13,[128]
7462020-09-10,[76]
7462020-09-11,"[15, 154]"
20292020-09-19,"[128, 169]"
7462020-09-17,[169]
7462020-09-14,"[105, 154]"
7462020-09-15,"[130, 134, 169]"
12352020-11-11,"[134, 141]"
7462020-09-18,[129]
12352020-11-13,[76]
12352020-11-14,"[130, 134, 154]"
12352020-11-15,"[14, 100, 154, 169]"
12352020-11-16,[193]
6392020-10-17,[155]
6392020-10-16,[136]
17132020-10-18,"[134, 156, 173]"
6392020-10-14,[74]
6392020-10-13,[130]
6392020-10-12,"[100, 124, 160]"
6392020-10-11,[187]
6392020-10-10,[139]
17132020-10-10,[176]
17132020-10-11,[128]
2162020-10-30,[134]
3432020-10-08,[155]
6392020-10-19,"[154, 187]"
6392020-10-18,[154]
9312020-10-15,"[26, 74, 128, 154, 169, 187]"
9312020-10-16,"[100, 107, 128, 155]"
9312020-10-17,"[146, 151]"
9312020-10-10,[155]
9312020-10-11,[141]
9312020-10-12,"[141, 148]"
9312020-10-13,[74]
1582020-11-02,[169]
1582020-11-01,[22]
1582020-11-07,[2]
1582020-11-06,[15]
1582020-11-05,"[139, 169]"
1582020-11-04,[50]
5142020-08-23,"[128, 161]"
5142020-08-22,"[15, 155]"
11042020-11-19,[128]
5142020-08-20,[108]
5142020-08-27,[167]
5142020-08-26,[154]
5142020-08-25,[130]
5142020-08-24,[128]
12522020-09-07,[138]
12522020-09-06,[128]
11042020-11-11,"[134, 142, 187]"
5142020-08-28,[130]
11042020-11-17,"[76, 107]"
12522020-09-02,"[169, 169]"
12522020-09-01,"[12, 25, 26, 76, 124, 134, 135, 148, 151, 154, 164]"
11042020-11-14,[128]
5252020-10-18,[173]
13522020-09-08,[178]
13522020-09-09,"[128, 170]"
1112020-10-30,[2]
13522020-09-03,"[124, 159]"
13522020-09-01,[124]
13522020-09-06,"[128, 134]"
13522020-09-07,"[128, 157]"
13522020-09-05,[74]
5922020-09-13,"[128, 151, 154, 155, 164]"
5922020-09-12,[159]
5922020-09-11,[130]
5672020-08-17,"[133, 154, 155, 161]"
5922020-09-17,[128]
5922020-09-16,[154]
5922020-09-15,[128]
5922020-09-14,[76]
12502020-08-19,"[140, 160, 167, 169]"
15472020-11-28,[138]
5922020-09-19,"[76, 141]"
5922020-09-18,"[128, 154]"
5672020-08-18,"[151, 156, 163]"
5672020-08-19,[161]
3432020-10-07,"[151, 164]"
7392020-09-21,"[151, 180]"
1112020-10-09,[25]
7392020-09-23,[128]
7392020-09-22,"[146, 151]"
7392020-09-25,[161]
7392020-09-24,[128]
7392020-09-27,"[146, 151]"
7392020-09-26,[100]
7392020-09-29,"[128, 154]"
7392020-09-28,"[74, 140]"
4382020-09-12,"[139, 155]"
4382020-09-13,[148]
4382020-09-10,[154]
4382020-09-11,[128]
4382020-09-16,[128]
4382020-09-17,[169]
4382020-09-14,"[76, 135]"
4382020-09-15,"[93, 130]"
1262020-11-10,[188]
4382020-09-18,[169]
4382020-09-19,[151]
8072020-10-09,[136]
14902020-08-24,"[15, 140]"
4532020-10-21,"[159, 190]"
14902020-08-23,[134]
14902020-08-20,"[129, 157]"
8072020-10-01,"[2, 15, 130, 134, 140, 155, 155, 156, 161]"
12152020-10-19,"[134, 134, 154]"
8072020-10-03,[142]
8072020-10-02,[128]
8072020-10-05,[154]
8072020-10-04,"[76, 128, 187]"
8072020-10-07,"[151, 164]"
8072020-10-06,[74]
4492020-09-15,[169]
12492020-10-08,[154]
17622020-11-16,[134]
9912020-10-27,"[25, 154]"
2482020-08-19,[169]
2752020-11-21,"[15, 188]"
32020-11-04,[2]
16012020-11-21,[135]
2752020-11-22,"[76, 154]"
2752020-11-25,"[151, 177]"
2752020-11-24,"[146, 151]"
2752020-11-27,[130]
2752020-11-26,"[151, 164]"
2752020-11-29,"[160, 188]"
2752020-11-28,[21]
17412020-10-24,[169]
17412020-10-25,"[146, 151, 151, 166]"
17412020-10-22,[134]
32020-11-06,[2]
17412020-10-20,[134]
6292020-10-14,"[141, 151]"
6292020-10-15,"[133, 173]"
6292020-10-16,"[107, 191]"
6292020-10-17,[128]
6292020-10-10,"[146, 151, 169]"
6292020-10-11,"[134, 138]"
6292020-10-12,"[74, 141]"
6292020-10-13,[74]
6292020-10-18,"[21, 193]"
6292020-10-19,"[139, 193]"
8172020-10-31,"[141, 169]"
6802020-11-24,"[134, 141]"
1512020-11-08,[169]
1512020-11-09,"[151, 164]"
15782020-08-20,"[46, 162]"
1512020-11-02,"[22, 193]"
1512020-11-01,[170]
11512020-10-23,"[108, 138]"
15712020-09-30,[154]
1512020-11-04,"[15, 26]"
1512020-11-05,[131]
15472020-11-24,[134]
10512020-10-08,[128]
10512020-10-09,[15]
10512020-10-04,"[93, 128]"
10512020-10-05,"[76, 130]"
10512020-10-06,[134]
10512020-10-07,[142]
10652020-08-21,"[162, 162]"
10512020-10-01,"[128, 154, 187]"
10512020-10-02,[188]
10512020-10-03,[142]
2272020-08-18,"[148, 155]"
6142020-10-09,[154]
15632020-09-30,[140]
3612020-10-07,"[93, 128]"
8482020-10-02,"[128, 173]"
1152020-09-07,[107]
3822020-09-04,[151]
5112020-08-22,[151]
8482020-10-06,[142]
8482020-10-07,[12]
8482020-10-04,"[140, 169, 189]"
8482020-10-05,[128]
9912020-10-24,[76]
8482020-10-08,"[128, 154]"
8482020-10-09,[155]
5702020-11-10,[142]
7312020-09-24,[128]
8862020-11-18,[76]
8862020-11-19,[169]
10172020-11-25,"[139, 154]"
5702020-11-11,"[130, 151, 154, 164, 169]"
8892020-11-21,"[128, 146, 151]"
7312020-09-27,"[130, 173]"
10172020-11-21,"[107, 141]"
10172020-11-20,[107]
8862020-11-10,[128]
11762020-11-11,"[128, 130]"
8862020-11-12,"[128, 168]"
11762020-11-13,"[129, 188]"
11762020-11-14,[130]
11762020-11-15,"[128, 142, 169]"
10172020-11-29,"[15, 128]"
10172020-11-28,[18]
10772020-10-21,"[26, 142, 169]"
1152020-09-01,"[148, 151]"
9912020-10-23,[154]
2272020-08-17,"[155, 167]"
5702020-11-18,[193]
1332020-09-07,"[15, 135, 139]"
1332020-09-06,[123]
10772020-10-26,[154]
52020-11-23,"[107, 196]"
1332020-09-03,[26]
1332020-09-02,[76]
1332020-09-01,"[108, 124, 154]"
11152020-09-08,"[128, 163]"
11152020-09-07,"[139, 154]"
11152020-09-06,[135]
2682020-10-26,[154]
2682020-10-27,"[76, 130, 130]"
2682020-10-20,"[130, 141, 155]"
11152020-09-02,"[124, 154]"
2682020-10-22,"[12, 124, 135]"
52020-10-16,"[2, 190]"
8462020-09-06,"[155, 176]"
8462020-09-07,"[74, 169]"
8462020-09-04,[15]
8462020-09-05,"[141, 155, 159]"
8462020-09-02,"[50, 169]"
8462020-09-03,[4]
8462020-09-01,[108]
4262020-11-09,[76]
1152020-09-08,"[2, 123]"
8462020-09-08,"[151, 164]"
8462020-09-09,"[128, 138]"
7432020-09-13,"[15, 128]"
7432020-09-12,"[76, 155]"
7102020-08-17,[128]
7432020-09-17,"[93, 154]"
7432020-09-16,[76]
232020-09-28,[2]
232020-09-29,"[2, 123]"
232020-09-26,[2]
232020-09-27,[2]
7432020-09-19,"[128, 156]"
7432020-09-18,[76]
232020-09-22,[2]
232020-09-23,"[2, 123]"
232020-09-20,[2]
232020-09-21,[2]
812020-08-27,"[169, 169]"
10452020-10-02,[178]
3562020-09-28,"[146, 151]"
4262020-11-07,[164]
10772020-10-24,[154]
3562020-09-29,"[131, 151, 154, 164]"
9912020-10-20,[181]
2892020-09-09,"[151, 154, 164]"
52020-10-14,[188]
4092020-08-27,[164]
102020-11-21,[2]
13942020-10-19,"[22, 134, 169]"
13942020-10-18,[134]
13942020-10-11,"[176, 187]"
13942020-10-10,"[134, 154]"
4262020-11-02,"[151, 164]"
10772020-10-25,[154]
13942020-10-16,"[12, 21, 26, 154, 190]"
18922020-09-27,[74]
18922020-09-26,"[18, 154]"
18922020-09-21,[22]
18922020-09-20,[18]
2302020-10-02,[179]
15022020-11-20,[154]
18922020-09-29,"[107, 128]"
18922020-09-28,"[74, 154]"
4802020-10-02,[180]
4802020-10-03,[76]
13122020-10-03,[128]
4802020-10-06,"[1, 12, 128]"
4802020-10-07,[128]
4802020-10-04,[148]
