BillNo,ItemID,Quantity,SellingDate,SellingPrice,StudentID,TransactionID,final_rating
2,123,1,2020-11-22 17:05:07,8.000000,"F2795",2,5
2,123,1,2020-11-22 17:05:07,8.000000,"F2795",4,5
2,123,1,2020-11-26 17:00:32,8.000000,"F4612",2,1
2,123,1,2020-11-29 17:01:40,8.000000,"F2570",2,4
2,123,2,2020-11-16 17:00:24,8.000000,"F2113",2,1
2,123,2,2020-11-21 16:59:45,8.000000,"F3622",2,5
2,169,1,2020-11-08 17:08:14,25.000000,"F3575",2,3
2,169,1,2020-11-14 17:02:31,25.000000,"F3886",1,3
2,188,1,2020-11-24 17:01:00,18.000000,"F3765",1,2
2,188,1,2020-11-25 17:01:22,18.000000,"F4671",1,2
2,193,1,2020-11-13 17:02:12,18.000000,"F4442",3,2
2,195,1,2020-11-25 18:46:41,35.000000,"F3074",3,4
3,1,2,2020-11-22 17:05:17,7.000000,"F2096",1,4
3,2,1,2020-11-02 17:07:58,8.000000,"F3720",1,1
3,2,1,2020-11-04 17:01:28,8.000000,"H1130",1,2
3,2,1,2020-11-12 17:03:01,8.000000,"H2127",1,2
3,2,1,2020-11-14 17:02:40,8.000000,"F1179",2,4
3,2,1,2020-11-20 17:04:27,8.000000,"F0000",2,4
3,2,1,2020-11-26 17:00:44,8.000000,"F4185",1,1
3,2,1,2020-11-27 17:00:09,8.000000,"F1385",1,2
3,2,2,2020-11-01 17:04:46,8.000000,"F0000",1,3
3,2,2,2020-11-05 17:05:21,8.000000,"F4386",2,4
3,2,2,2020-11-06 17:03:04,8.000000,"F2667",1,5
3,2,2,2020-11-07 17:03:19,8.000000,"F2329",1,4
3,2,2,2020-11-08 17:08:47,8.000000,"F2903",1,3
3,2,2,2020-11-11 17:02:20,8.000000,"F2698",1,2
3,2,2,2020-11-13 17:02:16,8.000000,"F1520",1,2
3,2,2,2020-11-15 17:03:17,8.000000,"F2502",1,4
3,2,2,2020-11-16 17:00:29,8.000000,"F2259",1,1
3,2,2,2020-11-17 17:05:29,8.000000,"F3765",1,3
3,2,2,2020-11-18 17:02:20,8.000000,"F3418",1,1
3,2,2,2020-11-21 16:59:55,8.000000,"F1545",1,4
3,2,2,2020-11-28 17:03:52,8.000000,"F2329",2,3
3,2,4,2020-11-09 17:05:27,8.000000,"F3776",1,3
3,15,1,2020-11-17 17:05:29,35.000000,"F3765",2,2
3,25,10,2020-11-19 17:07:26,10.000000,"F0000",1,3
3,76,1,2020-11-10 17:06:02,33.000000,"F1597",1,3
3,108,1,2020-11-14 17:02:40,20.000000,"F1179",1,2
3,123,1,2020-11-02 17:07:58,8.000000,"F3720",2,5
3,123,1,2020-11-07 17:03:19,8.000000,"F2329",2,5
3,123,1,2020-11-12 17:03:01,8.000000,"H2127",2,2
3,123,1,2020-11-16 17:00:29,8.000000,"F2259",2,2
3,123,1,2020-11-26 17:00:44,8.000000,"F4185",2,4
3,123,1,2020-11-28 17:03:52,8.000000,"F2329",1,5
3,123,2,2020-11-05 17:05:21,8.000000,"F4386",1,3
3,123,2,2020-11-09 17:05:27,8.000000,"F3776",2,2
3,123,2,2020-11-11 17:02:20,8.000000,"F2698",2,4
3,123,2,2020-11-21 16:59:55,8.000000,"F1545",2,3
3,146,1,2020-11-25 20:16:15,85.000000,"H1130",1,5
3,151,3,2020-11-25 20:16:15,12.000000,"H1130",2,2
3,188,1,2020-11-20 17:04:27,18.000000,"F0000",1,2
3,188,1,2020-11-23 17:01:52,18.000000,"F2795",1,5
3,188,1,2020-11-24 17:01:36,18.000000,"F3008",1,3
3,188,1,2020-11-25 17:01:28,18.000000,"F1385",1,5
3,188,1,2020-11-27 17:00:09,18.000000,"F1385",2,5
3,188,1,2020-11-29 17:01:47,18.000000,"F1667",1,4
3,196,1,2020-11-23 17:01:52,25.000000,"F2795",2,5
4,1,1,2020-11-22 17:05:30,7.000000,"F2373",1,4
4,2,1,2020-11-05 17:06:06,8.000000,"F2767",1,1
4,2,1,2020-11-08 17:08:59,8.000000,"F2924",2,3
4,2,1,2020-11-09 17:06:19,8.000000,"F2387",2,3
4,2,1,2020-11-14 17:03:36,8.000000,"F4735",1,2
4,2,2,2020-11-04 17:01:35,8.000000,"H1129",1,3
4,2,2,2020-11-06 17:03:08,8.000000,"F2050",1,4
4,2,2,2020-11-07 17:03:23,8.000000,"F2391",1,3
4,2,2,2020-11-10 17:06:54,8.000000,"F1545",1,3
4,2,2,2020-11-12 17:03:11,8.000000,"H2130",1,1
4,2,2,2020-11-13 17:02:22,8.000000,"F2025",1,1
4,2,2,2020-11-17 17:05:35,8.000000,"F2272",1,2
4,2,2,2020-11-18 17:02:24,8.000000,"F3402",1,5
4,2,2,2020-11-19 17:07:35,8.000000,"F3765",1,4
4,2,2,2020-11-21 17:00:03,8.000000,"F3883",1,1
4,2,2,2020-11-26 17:00:57,8.000000,"F3641",2,2
4,2,2,2020-11-28 17:03:58,8.000000,"F2391",1,3
4,2,2,2020-11-29 17:01:55,8.000000,"F1063",1,4
4,2,3,2020-11-16 17:00:34,8.000000,"F2664",1,4
4,2,3,2020-11-27 17:00:15,8.000000,"F2903",1,1
4,2,4,2020-11-01 17:05:32,8.000000,"F2272",2,3
4,2,4,2020-11-02 17:09:24,8.000000,"F3667",1,3
4,19,1,2020-11-08 17:08:59,20.000000,"F2924",1,2
4,107,1,2020-11-08 17:08:59,10.000000,"F2924",3,3
4,107,1,2020-11-21 17:00:03,10.000000,"F3883",3,4
4,107,1,2020-11-24 17:01:51,10.000000,"F2059",1,4
4,107,2,2020-11-20 17:04:45,10.000000,"F3153",1,2
4,123,1,2020-11-01 17:05:32,8.000000,"F2272",3,3
4,123,1,2020-11-12 17:03:11,8.000000,"H2130",2,4
4,123,1,2020-11-17 17:05:35,8.000000,"F2272",2,2
4,123,1,2020-11-21 17:00:03,8.000000,"F3883",2,5
4,123,1,2020-11-22 17:05:30,8.000000,"F2373",2,3
4,123,1,2020-11-28 17:03:58,8.000000,"F2391",2,2
4,123,2,2020-11-01 17:05:32,8.000000,"F2272",1,4
4,123,2,2020-11-09 17:06:19,8.000000,"F2387",1,4
4,123,2,2020-11-13 17:02:22,8.000000,"F2025",2,1
4,146,1,2020-11-25 20:16:20,85.000000,"F3473",1,5
4,151,3,2020-11-25 20:16:20,12.000000,"F3473",2,1
4,160,1,2020-11-23 17:02:17,25.000000,"F2795",1,3
4,167,2,2020-11-27 17:00:15,10.000000,"F2903",2,2
4,188,1,2020-11-11 17:03:21,18.000000,"F2765",1,1
4,188,1,2020-11-24 17:01:51,18.000000,"F2059",2,4
4,188,1,2020-11-25 17:01:35,18.000000,"F2610",1,3
4,188,1,2020-11-26 17:00:57,18.000000,"F3641",1,5
4,188,2,2020-11-15 17:03:21,18.000000,"F2777",1,3
4,193,1,2020-11-20 17:04:45,18.000000,"F3153",2,4
4,194,2,2020-11-02 17:09:24,10.000000,"F3667",2,3
5,1,2,2020-11-22 17:05:43,7.000000,"F2663",1,4
5,1,2,2020-11-26 17:01:02,7.000000,"F0000",1,5
5,2,1,2020-11-01 17:05:39,8.000000,"F2665",1,3
5,2,1,2020-11-05 17:06:53,8.000000,"F0000",1,4
5,2,1,2020-11-06 17:03:12,8.000000,"F1583",2,5
5,2,1,2020-11-13 17:02:25,8.000000,"F2511",1,5
5,2,1,2020-11-14 17:06:38,8.000000,"F1179",1,2
5,2,1,2020-11-18 17:02:57,8.000000,"F3622",2,3
5,2,1,2020-11-26 17:01:02,8.000000,"F0000",2,1
5,2,1,2020-11-29 17:02:10,8.000000,"F1858",1,2
5,2,2,2020-11-04 17:01:59,8.000000,"F2096",1,3
5,2,2,2020-11-08 17:09:06,8.000000,"F2567",1,5
5,2,2,2020-11-09 17:06:36,8.000000,"F3543",1,3
5,2,2,2020-11-11 17:03:30,8.000000,"F4706",1,3
5,2,2,2020-11-12 17:04:09,8.000000,"F2731",1,4
5,2,2,2020-11-15 17:03:24,8.000000,"F2459",1,2
5,2,2,2020-11-17 17:06:03,8.000000,"F3001",1,4
5,2,2,2020-11-19 17:07:44,8.000000,"F3143",1,4
5,2,2,2020-11-20 17:05:23,8.000000,"F1322",1,4
5,2,2,2020-11-28 17:04:14,8.000000,"F2371",1,3
5,2,3,2020-11-02 17:10:31,8.000000,"F3757",1,1
5,2,3,2020-11-16 17:00:39,8.000000,"F2734",1,3
5,2,3,2020-11-27 17:00:26,8.000000,"F2935",1,1
5,2,4,2020-11-10 17:07:46,8.000000,"F1169",1,4
5,22,1,2020-11-08 17:09:06,15.000000,"F2567",2,5
5,26,1,2020-11-27 17:00:26,5.000000,"F2935",3,4
5,93,1,2020-11-09 17:06:36,32.000000,"F3543",4,1
5,107,1,2020-11-04 17:01:59,10.000000,"F2096",2,3
5,107,1,2020-11-07 17:03:55,10.000000,"F2758",1,5
5,107,1,2020-11-09 17:06:36,10.000000,"F3543",3,4
5,107,1,2020-11-21 17:02:31,10.000000,"F2359",1,5
5,107,1,2020-11-23 17:02:31,10.000000,"F2013",2,3
5,123,1,2020-11-01 17:05:39,8.000000,"F2665",2,1
5,123,1,2020-11-06 17:03:12,8.000000,"F1583",1,2
5,123,1,2020-11-09 17:06:36,8.000000,"F3543",2,4
5,123,1,2020-11-27 17:00:26,8.000000,"F2935",2,5
5,123,1,2020-11-28 17:04:14,8.000000,"F2371",2,3
5,123,2,2020-11-18 17:02:57,8.000000,"F3622",1,2
5,146,2,2020-11-25 20:16:37,85.000000,"F0000",1,4
5,169,1,2020-11-24 17:03:36,25.000000,"F2399",2,4
5,176,1,2020-11-29 17:02:10,30.000000,"F1858",2,5
5,188,1,2020-11-24 17:03:36,18.000000,"F2399",1,3
5,188,1,2020-11-25 17:01:39,18.000000,"F2493",1,2
5,196,1,2020-11-23 17:02:31,25.000000,"F2013",1,1
6,2,1,2020-11-01 17:05:50,8.000000,"F2734",1,1
6,2,1,2020-11-04 17:02:49,8.000000,"F2276",1,4
6,2,1,2020-11-06 17:03:23,8.000000,"F2067",1,3
6,2,1,2020-11-11 17:03:35,8.000000,"F2141",1,2
6,2,1,2020-11-14 17:06:45,8.000000,"F3596",1,2
6,2,1,2020-11-16 17:00:44,8.000000,"F2394",1,4
6,2,1,2020-11-17 17:06:10,8.000000,"F2142",1,4
6,2,1,2020-11-21 17:02:53,8.000000,"F1987",1,4
6,2,2,2020-11-02 17:13:10,8.000000,"F2056",1,5
6,2,2,2020-11-05 17:07:53,8.000000,"F4253",1,2
6,2,2,2020-11-08 17:09:23,8.000000,"F3359",1,3
6,2,2,2020-11-09 17:06:42,8.000000,"F2239",1,2
6,2,2,2020-11-10 17:07:55,8.000000,"F2127",1,3
6,2,2,2020-11-12 17:04:18,8.000000,"F2772",1,3
6,2,2,2020-11-15 17:03:26,8.000000,"F2322",1,2
6,2,2,2020-11-18 17:03:28,8.000000,"F2645",1,3
6,2,2,2020-11-27 17:00:30,8.000000,"F2888",1,1
6,2,2,2020-11-28 17:04:24,8.000000,"F2850",1,2
6,2,4,2020-11-13 17:02:29,8.000000,"F3183",1,5
6,15,1,2020-11-24 17:03:48,35.000000,"F2380",2,3
6,21,1,2020-11-20 17:05:31,30.000000,"F1322",1,2
6,51,1,2020-11-22 17:07:01,15.000000,"F2327",2,2
