0,1,2
"frozenset(['20H', 'F2'])",0.0321207302,"[OrderedStatistic(items_base=frozenset(['20H']), items_add=frozenset(['F2']), confidence=0.23089518025661637, lift=0.7914945173975527), OrderedStatistic(items_base=frozenset(['F2']), items_add=frozenset(['20H']), confidence=0.11010789324247587, lift=0.7914945173975527)]"
"frozenset(['F2', '21H'])",0.0312386111,"[OrderedStatistic(items_base=frozenset(['21H']), items_add=frozenset(['F2']), confidence=0.24121390425633976, lift=0.8268664704337425), OrderedStatistic(items_base=frozenset(['F2']), items_add=frozenset(['21H']), confidence=0.10708404315729698, lift=0.8268664704337425)]"
"frozenset([2, '17H'])",0.0306174005,"[OrderedStatistic(items_base=frozenset([2]), items_add=frozenset(['17H']), confidence=0.7817489690176589, lift=8.978511846217655), OrderedStatistic(items_base=frozenset(['17H']), items_add=frozenset([2]), confidence=0.3516457382039574, lift=8.978511846217655)]"
"frozenset(['F4', '22H'])",0.0302819468,"[OrderedStatistic(items_base=frozenset(['22H']), items_add=frozenset(['F4']), confidence=0.1691026827012026, lift=0.9518663350761867), OrderedStatistic(items_base=frozenset(['F4']), items_add=frozenset(['22H']), confidence=0.1704548103596988, lift=0.9518663350761868)]"
"frozenset([128, '23H'])",0.0283727595,"[OrderedStatistic(items_base=frozenset([128]), items_add=frozenset(['23H']), confidence=0.32256697584632044, lift=1.4892033240747184), OrderedStatistic(items_base=frozenset(['23H']), items_add=frozenset([128]), confidence=0.1309892547130129, lift=1.4892033240747187)]"
frozenset(['F5']),0.0274078123,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['F5']), confidence=0.027407812344697347, lift=1.0)]"
"frozenset([128, 'F3'])",0.0273291257,"[OrderedStatistic(items_base=frozenset([128]), items_add=frozenset(['F3']), confidence=0.31070201045246953, lift=1.133368838309466), OrderedStatistic(items_base=frozenset(['F3']), items_add=frozenset([128]), confidence=0.09969030893572023, lift=1.133368838309466)]"
frozenset([142]),0.0270185204,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset([142]), confidence=0.027018520359142564, lift=1.0)]"
"frozenset(['20H', 'F4'])",0.0260949872,"[OrderedStatistic(items_base=frozenset(['20H']), items_add=frozenset(['F4']), confidence=0.18758000654937335, lift=1.0558738070596518), OrderedStatistic(items_base=frozenset(['F4']), items_add=frozenset(['20H']), confidence=0.14688672867566496, lift=1.0558738070596518)]"
"frozenset(['F1', '23H'])",0.0257719577,"[OrderedStatistic(items_base=frozenset(['23H']), items_add=frozenset(['F1']), confidence=0.11898206569538451, lift=1.110076330554087), OrderedStatistic(items_base=frozenset(['F1']), items_add=frozenset(['23H']), confidence=0.24044665971175766, lift=1.1100763305540868)]"
frozenset(['18H']),0.025672564,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['18H']), confidence=0.02567256402610741, lift=1.0)]"
"frozenset([154, 'F3'])",0.0247614551,"[OrderedStatistic(items_base=frozenset([154]), items_add=frozenset(['F3']), confidence=0.2861450107681264, lift=1.0437906017088128), OrderedStatistic(items_base=frozenset(['F3']), items_add=frozenset([154]), confidence=0.09032404260140493, lift=1.0437906017088128)]"
"frozenset([154, 'F2'])",0.02442186,"[OrderedStatistic(items_base=frozenset([154]), items_add=frozenset(['F2']), confidence=0.28222062694424505, lift=0.9674350009151786), OrderedStatistic(items_base=frozenset(['F2']), items_add=frozenset([154]), confidence=0.08371663827370811, lift=0.9674350009151785)]"
frozenset([107]),0.0240656992,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset([107]), confidence=0.024065699234668524, lift=1.0)]"
"frozenset([128, 'F2'])",0.0235852964,"[OrderedStatistic(items_base=frozenset([128]), items_add=frozenset(['F2']), confidence=0.26813880126182965, lift=0.9191633660971953), OrderedStatistic(items_base=frozenset(['F2']), items_add=frozenset([128]), confidence=0.08084894946053378, lift=0.9191633660971953)]"
"frozenset([154, '23H'])",0.0229433787,"[OrderedStatistic(items_base=frozenset([154]), items_add=frozenset(['23H']), confidence=0.26513519980856665, lift=1.2240565539859993), OrderedStatistic(items_base=frozenset(['23H']), items_add=frozenset([154]), confidence=0.10592329165232688, lift=1.2240565539859996)]"
"frozenset(['F4', '21H'])",0.0223221681,"[OrderedStatistic(items_base=frozenset(['21H']), items_add=frozenset(['F4']), confidence=0.17236417127690196, lift=0.9702250099821864), OrderedStatistic(items_base=frozenset(['F4']), items_add=frozenset(['21H']), confidence=0.12564981234118935, lift=0.9702250099821863)]"
"frozenset(['F1', '00H'])",0.0222434814,"[OrderedStatistic(items_base=frozenset(['00H']), items_add=frozenset(['F1']), confidence=0.13197532987689511, lift=1.2313006086857), OrderedStatistic(items_base=frozenset(['F1']), items_add=frozenset(['00H']), confidence=0.20752675708048376, lift=1.2313006086857001)]"
"frozenset(['F0', '20H'])",0.0222434814,"[OrderedStatistic(items_base=frozenset(['20H']), items_add=frozenset(['F0']), confidence=0.15989401923134175, lift=1.8297938132548202), OrderedStatistic(items_base=frozenset(['F0']), items_add=frozenset(['20H']), confidence=0.2545497630331754, lift=1.8297938132548202)]"
frozenset([146]),0.0221896432,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset([146]), confidence=0.0221896431766226, lift=1.0)]"
frozenset([156]),0.0212288374,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset([156]), confidence=0.021228837425040586, lift=1.0)]"
frozenset([155]),0.0206490409,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset([155]), confidence=0.02064904085081006, lift=1.0)]"
"frozenset([154, '22H'])",0.020578637,"[OrderedStatistic(items_base=frozenset([154]), items_add=frozenset(['22H']), confidence=0.23780808805934436, lift=1.327985480461645), OrderedStatistic(items_base=frozenset(['22H']), items_add=frozenset([154]), confidence=0.11491674375578169, lift=1.3279854804616449)]"
"frozenset(['F3', '17H'])",0.0199574264,"[OrderedStatistic(items_base=frozenset(['17H']), items_add=frozenset(['F3']), confidence=0.22921423135464233, lift=0.8361203287229754), OrderedStatistic(items_base=frozenset(['F3']), items_add=frozenset(['17H']), confidence=0.07280006042752474, lift=0.8361203287229754)]"
"frozenset([128, '00H'])",0.0193403572,"[OrderedStatistic(items_base=frozenset([128]), items_add=frozenset(['00H']), confidence=0.21987852535430105, lift=1.3045862900496585), OrderedStatistic(items_base=frozenset(['00H']), items_add=frozenset([128]), confidence=0.11475047300783842, lift=1.3045862900496585)]"
"frozenset([128, '22H'])",0.0191705596,"[OrderedStatistic(items_base=frozenset([128]), items_add=frozenset(['22H']), confidence=0.2179481143179999, lift=1.217081949021312), OrderedStatistic(items_base=frozenset(['22H']), items_add=frozenset([128]), confidence=0.1070536540240518, lift=1.217081949021312)]"
frozenset([138]),0.0191250041,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset([138]), confidence=0.0191250041414041, lift=1.0)]"
frozenset([164]),0.0190338933,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset([164]), confidence=0.019033893251167874, lift=1.0)]"
"frozenset([128, 'F4'])",0.0188392473,"[OrderedStatistic(items_base=frozenset([128]), items_add=frozenset(['F4']), confidence=0.21418145863741234, lift=1.205611388405346), OrderedStatistic(items_base=frozenset(['F4']), items_add=frozenset([128]), confidence=0.10604471175140452, lift=1.2056113884053459)]"
"frozenset(['20H', 151])",0.0184955107,"[OrderedStatistic(items_base=frozenset([151]), items_add=frozenset(['20H']), confidence=0.36967138481913747, lift=2.657328786400173), OrderedStatistic(items_base=frozenset(['20H']), items_add=frozenset([151]), confidence=0.13295227888422495, lift=2.657328786400173)]"
"frozenset(['F0', '21H'])",0.0184830865,"[OrderedStatistic(items_base=frozenset(['21H']), items_add=frozenset(['F0']), confidence=0.1427200920981101, lift=1.633258972434979), OrderedStatistic(items_base=frozenset(['F0']), items_add=frozenset(['21H']), confidence=0.21151658767772513, lift=1.6332589724349789)]"
"frozenset([2, 'F2'])",0.0182760163,"[OrderedStatistic(items_base=frozenset([2]), items_add=frozenset(['F2']), confidence=0.4666384688590462, lift=1.599608052875933), OrderedStatistic(items_base=frozenset(['F2']), items_add=frozenset([2]), confidence=0.06264906303236797, lift=1.5996080528759333)]"
"frozenset([169, 'F2'])",0.0182511679,"[OrderedStatistic(items_base=frozenset([169]), items_add=frozenset(['F2']), confidence=0.35468812877263584, lift=1.2158491528386675), OrderedStatistic(items_base=frozenset(['F2']), items_add=frozenset([169]), confidence=0.06256388415672913, lift=1.2158491528386675)]"
"frozenset(['F1', '22H'])",0.0182387437,"[OrderedStatistic(items_base=frozenset(['22H']), items_add=frozenset(['F1']), confidence=0.10185013876040704, lift=0.9502392452240224), OrderedStatistic(items_base=frozenset(['F1']), items_add=frozenset(['22H']), confidence=0.17016344036165526, lift=0.9502392452240224)]"
frozenset([123]),0.0179115727,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset([123]), confidence=0.017911572739621642, lift=1.0)]"
